# Generated Surge rules manifest
# Do not include proxy nodes, subscriptions, certificates, or secrets.

Ads-Reject,广告分流,rules/surge/generated/00-Ads-Reject.list,2935
LAN-Direct,DIRECT,rules/surge/generated/01-LAN-Direct.list,12
AccountSafety-DIRECT,DIRECT,rules/surge/generated/02-AccountSafety-Direct.list,12
Mainland-Services-Direct,DIRECT,rules/surge/generated/03-Mainland-Services-Direct.list,491
Seetong-Local,Seetong,rules/surge/generated/04-Seetong.list,2
PayPal-Stable,PayPal,rules/surge/generated/05-PayPal-Stable.list,247
TradingView-Fast,TradingView,rules/surge/generated/05-TradingView-Fast.list,3
Binance-Geo,Binance,rules/surge/generated/05-Binance-Geo.list,14
FinanceCrypto-Stable,金融加密,rules/surge/generated/06-FinanceCrypto-Stable.list,241
Adobe,Adobe,rules/surge/generated/07-Adobe.list,181
Claude,Claude,rules/surge/generated/08-Claude.list,6
AI,AI,rules/surge/generated/08-AI.list,121
Apple,Apple,rules/surge/generated/09-Apple.list,119
RedNote,RedNote,rules/surge/generated/10-RedNote.list,4
Weibo,Weibo,rules/surge/generated/11-Weibo.list,3
TikTok,TikTok,rules/surge/generated/12-TikTok.list,30
Douyin-ByteDance,抖音,rules/surge/generated/13-Douyin-ByteDance.list,371
Bilibili,Bilibili,rules/surge/generated/14-Bilibili.list,127
Telegram,Telegram,rules/surge/generated/15-Telegram.list,41
Microsoft,Microsoft,rules/surge/generated/16-Microsoft.list,677
Meta,Meta,rules/surge/generated/17-Meta.list,581
YouTube,YouTube,rules/surge/generated/18-YouTube.list,189
Google,Google,rules/surge/generated/19-Google.list,672
GitHub,GitHub,rules/surge/generated/20-GitHub.list,29
Developer-Collab,开发协作,rules/surge/generated/21-Developer-Collab.list,29
Global-Social-Info,海外社交资讯,rules/surge/generated/22-Global-Social-Info.list,76
Streaming,境外流媒体,rules/surge/generated/23-Streaming.list,1671
Amazon,Amazon,rules/surge/generated/24-Amazon.list,187
Talkatone,全局代理,rules/surge/generated/25-Talkatone.list,6
ChinaASN-Direct,DIRECT,rules/surge/generated/26-ChinaASN-Direct.list,5075
Ads-Reject-Heavy,广告分流,rules/surge/generated/27-Ads-Reject-Heavy.list,178353
